iter	Accuracy	MultiClass
0	0.7777777778	0.9995449978
1	0.7777777778	0.989019729
2	0.7777777778	0.8984805875
3	0.7777777778	0.8784605629
4	0.7777777778	0.8560581342
5	0.7777777778	0.8310429068
6	0.8888888889	0.7517324335
7	0.8888888889	0.7038315848
8	1	0.6396112785
9	1	0.6163716224
10	1	0.5856847999
11	1	0.5513911848
12	1	0.5223787195
13	1	0.4673405892
14	1	0.4517966861
15	1	0.4320172008
16	1	0.4159055224
17	1	0.363714336
18	1	0.3218429484
19	1	0.3152014606
20	1	0.3050915287
21	1	0.2833685325
22	1	0.2780890262
23	1	0.2565748701
24	1	0.2377683137
25	1	0.2332989843
26	1	0.2280041849
27	1	0.2222396384
28	1	0.207435446
29	1	0.2047534929
30	1	0.1969391741
31	1	0.1933472134
32	1	0.1901836437
33	1	0.177700209
34	1	0.1685803081
35	1	0.1603337012
36	1	0.1526583306
37	1	0.1448011856
38	1	0.1423373359
39	1	0.1353961161
40	1	0.1315539127
41	1	0.1266575762
42	1	0.1249341246
43	1	0.1221185556
44	1	0.1201614901
45	1	0.1186065868
46	1	0.1118255653
47	1	0.1105254526
48	1	0.108617527
49	1	0.1027889311
50	1	0.1003854153
51	1	0.09971874206
52	1	0.09791209435
53	1	0.09697949131
54	1	0.09222847814
55	1	0.09012340598
56	1	0.08930676902
57	1	0.08838906533
58	1	0.08650341748
59	1	0.08348656412
60	1	0.08278056623
61	1	0.0819688976
62	1	0.08086665068
63	1	0.07977364014
64	1	0.07863221288
65	1	0.07805850137
66	1	0.07565985573
67	1	0.07513456263
68	1	0.07210362062
69	1	0.07004053111
70	1	0.06960806686
71	1	0.06700000672
72	1	0.06660804291
73	1	0.0663173432
74	1	0.06455541702
75	1	0.06288314196
76	1	0.06263051961
77	1	0.0616621526
78	1	0.06049181696
79	1	0.05978487301
80	1	0.05955534013
81	1	0.05811762837
82	1	0.05740793934
83	1	0.05643471603
84	1	0.05613320925
85	1	0.05480164445
86	1	0.05424608976
87	1	0.05317506641
88	1	0.05218447954
89	1	0.05129364213
90	1	0.05096267748
91	1	0.05003791556
92	1	0.04981520075
93	1	0.04959801695
94	1	0.04898960904
95	1	0.0487986201
96	1	0.04826328414
97	1	0.04798132282
98	1	0.04756332717
99	1	0.04700586854
100	1	0.04636574553
101	1	0.04541564147
102	1	0.04466345601
